Wordlist sampler;;;;;;;;;;;;;;;;;;;;;;;;;
The last 100 items from each thousand up to 100,000 words.;;;;;;;;;;;;;;;;;;;;;;;;;
corpus used: Timestamped JSI web corpus 2014-2019 English preloaded/eng_jsi_newsfeed_virt;;;;;;;;;;;;;;;;;;;;;;;;;
specifications: word list of word forms | case sensitive | no additonal filtering applied | no manual validation;;;;;;;;;;;;;;;;;;;;;;;;;
position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;;;
901-1000;1901-2000;2901-3000;3901-4000;4901-5000;5901-6000;6901-7000;7901-8000;8901-9000;9901-10000;14901-15000;19901-20000;24901-25000;29901-30000;34901-35000;39901-40000;44901-45000;49901-50000;59901-60000;69901-70000;79901-80000;89901-90000;99901-100000;;;
hospital;Fire;shortly;Palestinian;discount;Nathan;similarly;Zach;policing;k;Walters;Twilight;Permian;Nomura;Terrance;Surveys;Orrin;hitless;long-overdue;Washoe;Sukkur;umpire''s;Mocking;;;
arrested;notes;puts;projected;Thailand;restricted;Baptist;surveys;Results;disappearance;Responding;patiently;Cellular;sharpen;footballs;phablet;Amount;realtors;Ox;proffer;Bonhams;Proto;agar;;;
cause;fashion;networks;cheap;proceedings;preventing;exam;artwork;Consider;hacking;Railways;fest;Juno;Marshals;mind-boggling;Sulu;Playbook;man-to-man;HealthDay;Benelux;Chola;Comerford;Campaigner;;;
simply;arrest;recognition;exact;Nation;appealing;builds;Rebecca;expenditures;progression;dynasty;proactively;redefine;affords;whisked;Pichai;Smiles;whitening;hardball;eight-man;hypothyroidism;servants'';Athanasiou;;;
relationship;taxes;emerging;Thank;soul;co-founder;USB;debates;Cal;optimal;Cynthia;GTA;Islamists;Tannehill;Botox;Psalm;Geiger;Rauf;Homegrown;Kibaki;frilly;LCDs;Tigray;;;
learn;returns;desire;Way;arguments;fence;ugly;Adrian;HR;Paper;prosperous;MANILA;Improve;Rehman;Leasing;idiotic;Bannon''s;Meltzer;Arby''s;Prophecy;Gothamist;Paranoid;Walt''s;;;
overall;assault;expects;Nigerian;mood;Cuba;mature;Sources;assembled;cafe;regimes;heats;funerals;Bodies;Nomination;Bursa;Gwent;Silly;environment-friendly;Dunstable;ANF;Partido;Gastrointestinal;;;
test;welcome;encouraged;Missouri;night''s;copies;Visit;puck;shapes;massacre;Arabian;worsen;communism;Blank;trampoline;mermaid;foodstuffs;post-World;Earp;Bromsgrove;Sackler;pulleys;Jelani;;;
Do;advice;degrees;NCAA;Jake;competitions;Margaret;year-over-year;distinctive;parole;lodge;CDs;Wilkes-Barre;snuck;Hangzhou;injectable;splashes;Tamaqua;Siskiyou;hyenas;Leppard;Kentavious;seven-man;;;
